system,system_name,dataset,corpus_supported,query_id,category,question,reference_answer,generated_answer,abstained,success,error,latency_ms,relevant_documents,retrieved_documents,top_document,hit_at_1,hit_at_3,hit_at_5,mrr_at_10,ndcg_at_5,answer_token_f1,rouge_l_f1,abstention_correct
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q01,travel,What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?,"After attending the conference/symposium, the research scholar must share their experiences and acquired knowledge with the department through a formal presentation. The Head of the Department should issue a notice for this presentation, and a copy should be submitted to the AGSRD office along with travel-related documents for bill clearance. Submit the Travel Allowance (TA) and Daily Allowance (DA) form within 15 days of the trip, including accurate travel and DA details and all original vouchers and bills. Enclosures should include the registration certificate, registration fee receipt, travel tickets, and seminar notice indicating shared knowledge from the event. If travel documents are unavailable, the accounts office will use a standard distance-based calculation from the origin to the destination. In case the visit is canceled or the grants remain unused, please let the office know in writing.","ion, symposium or others. eligibility 1. full-time phd students of the pilani campus, kk birla goa campus, and hyderabad campus of bits pilani are eligible to submit an application for the bits pilani international travel award. 2. phd students after completing two years from the date of admission are eligible for consideration for the international travel award. 3. phd students enrolled in dual degree programs (cotutelle programs) are not eligible for the travel award. 4. a phd student can receive the international travel award only once during their phd program. conference selection 1. the c",False,True,,0.21741600000035888,Travel-Grant-for-Registered-Ph.d-Student.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;GCIR SOP_Hyd_11oct.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,0.0,0.0,0.0,0.0,0.0,0.22978723404255322,0.13617021276595742,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q02,travel,What is the eligibility criteria for availing BITS Pilani International Travel Award?,"Full-time PhD students of the Pilani Campus, KK Birla Goa Campus, and Hyderabad Campus of BITS Pilani are eligible to submit an application for the BITS Pilani International Travel Award. PhD students after completing two years from the date of admission are eligible for consideration for the International Travel Award. PhD students enrolled in dual degree programs (Cotutelle programs) are not eligible for the travel award. A PhD student can receive the International Travel Award only once during their PhD program.","ion, symposium or others. eligibility 1. full-time phd students of the pilani campus, kk birla goa campus, and hyderabad campus of bits pilani are eligible to submit an application for the bits pilani international travel award. 2. phd students after completing two years from the date of admission are eligible for consideration for the international travel award. 3. phd students enrolled in dual degree programs (cotutelle programs) are not eligible for the travel award. 4. a phd student can receive the international travel award only once during their phd program. conference selection 1. the c",False,True,,0.2379159999996716,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;GCIR SOP_Hyd_11oct.pdf;DRC_Guidelines-2015-updated.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,1.0,1.0,1.0,1.0,1.0,0.9213483146067416,0.9213483146067416,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q03,travel,What is the maximum limit of the grant for the International Travel Award?,INR 1.5 lakhs,"t of inr 8500/- per day. international travel insurance at silver class. the grant will be based on the actual expenditure incurred. the maximum limit of the grant for international travel award is inr 1.5 lakh. if a phd student receives travel award/support from another source, he/she can use the bits pilani international travel grant for expenses not supported by the other source. report submission on return by scholar the scholar on return will present a 15-30-minute seminar in the department based on the work presented and travel experience. he/she should mention the other additional benef",False,True,,0.24762500000008458,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;GCIR SOP_Hyd_11oct.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,1.0,1.0,1.0,1.0,1.0,0.056603773584905655,0.056603773584905655,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q04,travel,What is the maximum limit of the grant for the National Travel Award?,"INR 25,000","n a year, in the first week of january, april, july, and october, to consider the applications. travel grant the international travel award can be utilized to pay for the following purposes. economy class airfare to and from the nearest airport. conference registration charges. local conveyance, including travel to the airport and place of stay. visa processing fees. lodging and boarding expenses for the days of the conference with a maximum limit of inr 8500/- per day. international travel insurance at silver class. the grant will be based on the actual expenditure incurred. the maximum limit",False,True,,0.22520900000033706,Travel-Grant-for-Registered-Ph.d-Student.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;GCIR SOP_Hyd_11oct.pdf;18_Format-for-recommending-extension-of-time-limit-for-submission-of-thesis.pdf;DRC_Guidelines-2015-updated.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,0.0,0.0,0.0,0.0,0.0,0.0202020202020202,0.0202020202020202,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q05,proposal,What is the checklist for a PhD research proposal?,"A PhD proposal should follow this layout: General Formatting, Proposed Topic of Research, Objectives of Proposed Research, Background of Proposed Research, Methodology and Work Plan, References",list of documents to be submitted during phd. proposal submission 1. format for forwarding the phd. proposal 2. research proposal 3. dac members reviewers comments 4. check list for proposal 5. summary of proposal 6. appendix i 7. format for outside co-supervisor (noc from the co-supervisor's institute) 8. performa for dac approval after incorporating the correction as suggested by the dac member 9. copy of the email notication regarding ph.d. proposal seminar 10.two set of copies of the ph.d. proposal ph.d. thesis title approval process through erp after completion of pre submission of presen,False,True,,0.2460420000001129,Checklist_For-Proposal.pdf;Guidelines_for-PhD-Proposal.pdf,Documents_required.pdf;Guidelines_for-PhD-Proposal.pdf;Format_selection-of-DAC-member.pdf;CheckList_PhD-Thesis-submission.pdf;BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;10_Format_for-forwarding-the-research-proposals.pdf;Checklist_For-Proposal.pdf,Documents_required.pdf,0.0,1.0,1.0,0.5,0.38685280723454163,0.09448818897637795,0.07874015748031496,
legacy_proxy,Legacy-style TF-IDF proxy,source_gap,False,Q06,fellowship,What are the items which can be purchased under the contingency (with Institute PhD fellowship)?,"The items which can be procured under the Institute Ph.D contingency grant (for the scholars getting Institute fellowship) related to the Ph.D research work are: 1) Books and journals 2) Stationary, calculator, laser pointer, laptop mouse & cooling pad and printer cartridges 3) Supplies of computer consumables like external storage device, battery for UPS/Computers, anti- virus and other software (add-on). 4) Travel for attending conference, workshop and Lab visiting and sample collecting and CSIR NET Exams 5) Registration Examination fee for participation in professional development programs (conference, workshop, school etc and CSIR-UGC NET.) 6) Chemicals/Glassware 7) Photocopying/Typing/Binding/ charges 8) Spare parts replacement and minor repair of computers/Laptops. 9) Charges for recording spectra other experimental facility utilization charges 10) Other consumable materials required for experimental/theoretical studies 11) Data cards/ Data purchases.","birla institute of technology and science, pilani k.k.birla goa campus academic graduate studies & research division (agsrd) form for claiming reimbursement of contingency grant for institute fellow date: 1. name of the student : 2. id # : 3. department : 4. phd area/title : 5. details of items purchased: s.no item paid to (cash memo/ date) amount (rs.) total: amount in words rs. signature of the student recommended by signature of mentor/ supervisor signature of head of department associate dean - agsrd",False,True,,0.25695900000011207,Institute_Contigency-Form.pdf,Institute_Contigency-Form.pdf;CONTINGENCY_self-project.pdf;Format-for-Institute-fellowship-Continuation-after-the-Final-Thesis-submission.pdf;Guidelines_for-PhD-Proposal.pdf;BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;Fellowship_Advance-Form.pdf;DRC_Guidelines-2015-updated.pdf;GCIR SOP_Hyd_11oct.pdf,Institute_Contigency-Form.pdf,1.0,1.0,1.0,1.0,1.0,0.19178082191780824,0.10958904109589042,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q07,drc,What are the guidelines for availing casual leaves by a PhD student?,Casual leave is approved by the Supervisor. Casual leaves cannot be clubbed with any other leaves.,"es within their discipline. travel to international conferences would allow meeting other researchers from across the world which could also help phd students in their future pursuits. scope of the guidelines the following guidelines are applicable to phd students intending to travel to a conference organized outside india to present a paper or poster. the guidelines are not applicable to phd students intending to attend a workshop, training session, symposium or others. eligibility 1. full-time phd students of the pilani campus, kk birla goa campus, and hyderabad campus of bits pilani are eli",False,True,,0.25633299999983095,DRC_Guidelines-2015-updated.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf;DRC_Guidelines-2015-updated.pdf;Format_selection-of-DAC-member.pdf;CheckList_PhD-Thesis-submission.pdf,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,0.0,1.0,1.0,0.5,0.6309297535714575,0.03636363636363636,0.01818181818181818,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q08,drc,What is the difference between casual leaves and special casual leaves?,Special casual leave is permissible for attending conferences/ workshops/ symposia/ training programmes etc. as approved by DRC while a casual leave need not be approved by the DRC. Special casual leave should not be clubbed with on duty leave or casual leave while casual leave cannot be clubbed with any other type of leaves.,"en. a ph. d. student may have his own fellowship from csir/ugc, etc. each candidate is eligible for 30 days of vacation and 15 days of casual leave in an academic year (august to july). special casual leave of 15 days is permissible for attending conferences/workshop/symposiums/training programmes, etc. for female candidates, maternity leave of 90 days is permitted. 2.20 policy document on research scholars/ph.d students leave as applicable to goa campus i. maintaining the attendance register and monitoring presence is the responsibility of individual departmental drc's. ii. all kinds of leave",False,True,,0.23775000000014757,DRC_Guidelines-2015-updated.pdf,DRC_Guidelines-2015-updated.pdf;Guidelines_for-PhD-Proposal.pdf;GCIR SOP_Hyd_11oct.pdf;9_Format_for-evaluation-DAC-Members.pdf,DRC_Guidelines-2015-updated.pdf,1.0,1.0,1.0,1.0,1.0,0.28758169934640526,0.19607843137254904,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q09,drc,When is an on-duty leave applicable?,On duty leave is applicable when the student is expected to perform PhD project work at an off-campus site without a formal agreement.,"n one academic year. vi. on duty leave: on duty leave is also under the perview of drc of each department. if the work demands and if the pi and drc have no objection, on duty leave may be permitted to the ph. d student. care needs to be taken by drc that academic procedures like registration, grade submission, and other responsibilities of the student are not compromised. vii. special casual leave: a. scl conditions are the same as applicable to faculty. for attending conferences, academic meetings, workshop, symposia etc. b. reasons given above should be considered only under scl and not as ",False,True,,0.17875000000033836,DRC_Guidelines-2015-updated.pdf,DRC_Guidelines-2015-updated.pdf;GCIR SOP_Hyd_11oct.pdf;9_Format_for-evaluation-DAC-Members.pdf,DRC_Guidelines-2015-updated.pdf,1.0,1.0,1.0,1.0,1.0,0.1574803149606299,0.12598425196850394,
legacy_proxy,Legacy-style TF-IDF proxy,answerable,True,Q10,drc,How many members are present in the Departmental Research Committee (DRC)?,"The DRC consists of the Head of Department (HOD) as ex-officio member and Chairperson, and 2 to 6 faculty members, at the level of Assistant Professor or above, who are active in research. The size of DRC may depend on the number of faculty members in the Department.","). the drc will function closely with academic graduate studies & research (ph. d. programme) division (agsrd) for smooth running of ph. d. programme of the institute. drc may use the enclosed formats in their routine functions. 2. details about drc composition and functions 2.1 departmental research committee (drc) each department has a departmental research committee (drc), consisting of head of department (hod) as ex-officio member and chairperson, and 2 to 6 faculty members, at the level of assistant professor or above, who are active in research. the size of drc may depend on the number o",False,True,,0.23837499999990186,DRC_Guidelines-2015-updated.pdf,DRC_Guidelines-2015-updated.pdf;Format_for-DRC-constitution-final.pdf;Guidelines_for-PhD-Proposal.pdf;BITS-Pilani-International-Travel-Award_Guidelines-1.pdf,DRC_Guidelines-2015-updated.pdf,1.0,1.0,1.0,1.0,1.0,0.6301369863013698,0.5753424657534247,
