query_id,category,relevant_documents
Q01,travel,Travel-Grant-for-Registered-Ph.d-Student.pdf
Q02,travel,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf
Q03,travel,BITS-Pilani-International-Travel-Award_Guidelines-1.pdf
Q04,travel,Travel-Grant-for-Registered-Ph.d-Student.pdf
Q05,proposal,Checklist_For-Proposal.pdf;Guidelines_for-PhD-Proposal.pdf
Q06,fellowship,Institute_Contigency-Form.pdf
Q07,drc,DRC_Guidelines-2015-updated.pdf
Q08,drc,DRC_Guidelines-2015-updated.pdf
Q09,drc,DRC_Guidelines-2015-updated.pdf
Q10,drc,DRC_Guidelines-2015-updated.pdf
Q11,drc,DRC_Guidelines-2015-updated.pdf
Q12,drc,DRC_Guidelines-2015-updated.pdf
Q13,drc,DRC_Guidelines-2015-updated.pdf
Q14,drc,DRC_Guidelines-2015-updated.pdf
Q15,drc,DRC_Guidelines-2015-updated.pdf
Q16,drc,DRC_Guidelines-2015-updated.pdf
Q17,drc,DRC_Guidelines-2015-updated.pdf;Guidelines_for-PhD-Proposal.pdf
Q18,gcir,GCIR SOP_Hyd_11oct.pdf
Q19,gcir,GCIR SOP_Hyd_11oct.pdf
Q20,gcir,GCIR SOP_Hyd_11oct.pdf
Q21,gcir,GCIR SOP_Hyd_11oct.pdf
Q22,gcir,GCIR SOP_Hyd_11oct.pdf
Q23,gcir,GCIR SOP_Hyd_11oct.pdf
Q24,gcir,GCIR SOP_Hyd_11oct.pdf
Q25,gcir,GCIR SOP_Hyd_11oct.pdf
Q26,gcir,GCIR SOP_Hyd_11oct.pdf
Q27,gcir,GCIR SOP_Hyd_11oct.pdf
Q28,gcir,GCIR SOP_Hyd_11oct.pdf
Q29,gcir,GCIR SOP_Hyd_11oct.pdf
Q30,gcir,GCIR SOP_Hyd_11oct.pdf
Q31,gcir,GCIR SOP_Hyd_11oct.pdf
Q32,gcir,GCIR SOP_Hyd_11oct.pdf
Q33,gcir,GCIR SOP_Hyd_11oct.pdf
Q34,gcir,GCIR SOP_Hyd_11oct.pdf
Q35,gcir,GCIR SOP_Hyd_11oct.pdf
Q36,programme,DRC_Guidelines-2015-updated.pdf
Q37,programme,DRC_Guidelines-2015-updated.pdf
Q38,programme,DRC_Guidelines-2015-updated.pdf;Institute-Fellowship-policy-for_PhD.pdf
Q39,programme,DRC_Guidelines-2015-updated.pdf;Institute-Fellowship-policy-for_PhD.pdf
Q40,programme,GCIR SOP_Hyd_11oct.pdf
Q41,programme,DRC_Guidelines-2015-updated.pdf
Q42,programme,DRC_Guidelines-2015-updated.pdf
Q43,programme,DRC_Guidelines-2015-updated.pdf
Q44,programme,CheckList_PhD-Thesis-submission.pdf;DRC_Guidelines-2015-updated.pdf
